student_id,signup_date,course_name,completion_percentage,source_campaign_id
2177,2024-01-27,Machine Learning Basics,73.56,1004
2178,2024-01-29,Machine Learning Basics,17.64,1018
2179,2024-01-08,Data Analytics 101,43.68,1000
2180,2024-03-26,Machine Learning Basics,83.15,1006
2181,2024-03-29,Machine Learning Basics,63.27,1003
2182,2024-03-10,Machine Learning Basics,73.74,1018
2183,2024-03-01,Data Analytics 101,44.02,1006
2184,2024-03-31,Machine Learning Basics,32.39,1018
2185,2024-02-08,Data Analytics 101,49.1,1012
2186,2024-01-13,Data Analytics 101,46.47,1029
2187,2024-02-27,Data Analytics 101,76.69,1007
2188,2024-03-01,Machine Learning Basics,84.05,1006
2189,2024-01-01,Data Analytics 101,71.29,1027
2190,2024-03-02,Machine Learning Basics,46.02,1027
2191,2024-04-22,Python for Data Science,17.46,1000
2192,2024-02-07,Python for Data Science,49.27,1025
2193,2024-02-13,Python for Data Science,98.01,1012
2194,2024-03-01,Machine Learning Basics,39.04,1015
2195,2024-04-27,Python for Data Science,93.22,1027
2196,2024-04-10,Machine Learning Basics,32.77,1018
2197,2024-01-20,Python for Data Science,16.79,1014
2198,2024-04-14,Machine Learning Basics,29.51,1014
2199,2024-01-31,Machine Learning Basics,99.62,1021
